dominant_orientation,avg_currently_reading (Average),avg_want_to_read (Average),bt_count (Sum),avg_cred_score (Average),avg_kindle_price (Average),internal_problem_count (Sum),external_problem_count (Sum),avg_star_rating (Average),avg_num_ratings (Average),author_num_books (Sum),avg_num_reviews (Average),author_num_followers (Average)
Secular,742.695603012843,3340.45356340548,27,3.10095312850415,11.7661967718664,58.38%,72.40%,3.9321143694067,5976.82954082113,188390,455.500623170525,861.5
Spiritual,599.052953128775,2550.2812133259,11,2.63463783981025,10.5888661107589,41.62%,27.60%,4.07576043159694,4557.1802386368,159191.0,359.090679488047,919.3
Grand Total,697.270857247391,3090.57389227561,38,2.95013740316449,11.3937908093243,100.00%,100.00%,3.97746469708668,5528.63374580202,347581,425.063154360425,879.9
